"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20250915NF","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250915NF","300000007915202","LOADED","3","3 document(s) uploaded to ContractId 300000007915202."
"SOW20250915PD","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250915PD","300000007915091","LOADED","3","3 document(s) uploaded to ContractId 300000007915091."
"SOW20250915SR","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250915SR","300000007916268","LOADED","3","3 document(s) uploaded to ContractId 300000007916268."
"SOW20250918BW","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250918BW","300000007916018","LOADED","3","3 document(s) uploaded to ContractId 300000007916018."
"SOW20250919AA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250919AA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250919OD","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250919OD","300000007914792","LOADED","3","3 document(s) uploaded to ContractId 300000007914792."
"SOW20250919OD-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250919OD-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250922MC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250922MC","300000007915075","LOADED","3","3 document(s) uploaded to ContractId 300000007915075."
"SOW20250922WB-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250922WB-1","300000007914784","LOADED","3","3 document(s) uploaded to ContractId 300000007914784."
"SOW20250922WB-1-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250922WB-1-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250922WB-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250922WB-2","300000007916059","LOADED","3","3 document(s) uploaded to ContractId 300000007916059."
"SOW20250922WB-2-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250922WB-2-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
